title,description,event_types,event_audiences,event_languages,event_page,location_name,location_details,start,end,featured,cancelled,recurring,registration_starts,registration_ends,registration_closed,registration_status,location_address,location_zip,location,day_of_the_week,event_id
Graphic Novel Discussion: Spent,"<p>Join the Rogers Park Branch as we read and discuss Alison Bechdel's&nbsp;<em><a id=""ember18218"" data-add-title-link=""2631598126"" href=""/item/show/2631598126"">Spent</a>: A Comic Novel</em>.</p><p><br>Alison Bechdel, running a pygmy goat sanctuary in Vermont, is existentially irked by a climate-challenged world and a citizenry on the brink of civil war. She wonders: can she pull humanity out of its death spiral by writing a scathingly self-critical memoir about her own greed and privilege? Meanwhile, Alison's first graphic memoir about growing up with her father ... has been adapted into a highly successful TV series. It's a phenomenon that makes Alison ... the envy of her friend group (recognizable as characters, now middle-aged and living communally in Vermont, from Bechdel's beloved comic strip <em>Dykes to Watch Out For</em>). As the TV show ... racks up Emmy after Emmy--and when Alison's Pauline Bunyanesque partner Holly posts an instructional wood-chopping video that goes viral--Alison's own envy spirals. Why couldn't she be the writer for a critically lauded and wildly popular reality TV show--like Queer Eye--showing people how to free themselves from consumer capitalism and live a more ethical life?<br><br></p><p>Books will be available at the Rogers Park Reference Desk by March 1.<br></p>
<p><strong>Accessibility</strong> <br>
Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <u><a href=""mailto:access@chipublib.org"" target=""_blank"">access@chipublib.org</a></u> to request accommodations. Requests must be made at least 14 business days before the event.</p>",Book Clubs,Adults (Adults: 18 and up) | Teens (Teens: 13 to 19 years),English,Event Page: Graphic Novel Discussion: Spent (https://chipublib.bibliocommons.com/events/6936ee104be11d3d00d70005),Rogers Park,1st Floor Reading Area,2026-03-30T18:00:00.000,2026-03-30T19:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,6907 N. Clark Street,60626,POINT (-87.673294 42.00693),Monday,6936ee104be11d3d00d70005
LEGO® Club,"<p>This drop-in program is for LEGO aficionados who enjoy building and developing STEAM&nbsp;(science, technology, engineering, arts and math) skills. </p>
<p>For kids 4 to 12.</p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br><br></p>","Crafts, Games and Play",Kids (Kids: 6 to 13 years) | Preschoolers (Preschoolers: 3 to 5 years),English,Event Page: LEGO® Club (https://chipublib.bibliocommons.com/events/69371b927ed7c62f00a96867),Manning,,2026-04-28T16:00:00.000,2026-04-28T17:15:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,6 S. Hoyne Avenue,60612,POINT (-87.679283 41.881111),Tuesday,69371b927ed7c62f00a96867
Game Cart,"<p>Stop by the Children's Area to play board games. We leave the cart out&nbsp;for children and families to enjoy a round or two for their very own game night. No registration required and this is a drop in program.&nbsp;</p>
<p>For children 6 and up.&nbsp;</p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br><br></p>","Crafts, Games and Play",Kids (Kids: 6 to 13 years) | Tweens (Tweens: 10 to 13 years),English | Spanish (Español),Event Page: Game Cart (https://chipublib.bibliocommons.com/events/693995878b29ea2800c38a6e),Little Village,,2026-04-30T15:00:00.000,2026-04-30T17:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,2311 S. Kedzie Avenue,60623,POINT (-87.7051215 41.8495331),Thursday,693995878b29ea2800c38a6e
Author Misty Heggeness: Swiftynomics: How Women Mastermind and Redefine Our Economy,"<figure><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/8dac37e10ce8059ab4f2b3bd18e4385d/MistyHeggenessphotocreditJefferyBurkheadprimary(1).jpg"" data-image=""693b42297f0b8a3e004d24fb""></figure>
<p><br>Chicago Public&nbsp;Library is pleased to welcome economist and author Misty L. Heggeness in conversation with&nbsp;Britt Julious to discuss her new book,&nbsp;<em>Swiftynomics:&nbsp;How Women Mastermind and Redefine Our Economy.</em>&nbsp;A feminist romp through pop culture that illuminates how women influence and shape the economy, <em>Swiftynomics</em> assesses the complex economic lives of everyday American women through the stories of groundbreakers like Taylor Swift.&nbsp;Heggeness digs into the data, revealing women's hidden contributions and aspirations ,explores critical reforms regarding caregiving and gendered labor and&nbsp;offers advice for women to thrive in an economy that was not built for them.&nbsp;</p>
<p><strong>Misty L. Heggeness</strong> is co-director of the Kansas Population Center, Associate Professor of Economics and Public Affairs at the University of Kansas, and former Principal Economist and Senior Advisor at the US Census Bureau. She is also creator of The Care Board, a dashboard of economic statistics built by and for caregivers that brings their economic contributions into the fold.</p>
<figure><strong><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/2085d5972b0023298301632cb333104d/CDC1BE25-F633-486C-80C9-C23626331FAE.jpg"" data-image=""694044f8571fb4d550be160c""></strong></figure>
<p><strong>Britt Julious</strong> is a writer, editor, essayist, and storyteller for publications like The New York Times, Vogue, Bon Appetit, Esquire, ELLE, Women’s Health, and others. She’s currently a music critic for the Chicago Tribune. In 2019, she won the Studs Terkel award in journalism.</p>
<p></p>
<p><strong>How to Attend:</strong><br>Doors to the Multipurpose Room open at 5:30 p.m., and seating is first come, first served (200 capacity). Books are available for purchase, and the authors will autograph books at the conclusion of the program.</p>
<p>This event will also take place live on <a href=""https://www.youtube.com/channel/UCE8pQ7ZYzs_Aq_fa0mweJGw"">CPL's YouTube channel</a> and <a href=""https://www.facebook.com/chipublib/"">CPL's Facebook page.</a> You'll be able to ask questions during the event as well! Can't make it to the live stream? We'll archive the video on YouTube to watch later.<br></p>
<p><strong>Accessibility</strong><br></p>
<p>Automatic captioning is available via Facebook and YouTube's closed captioning setting. Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p><p><br>Photo credit:&nbsp; Jeffrey Burkhead</p>",Author Events,Adults (Adults: 18 and up),English,Event Page: Author Misty Heggeness: Swiftynomics: How Women Mastermind and Redefine Our Economy (https://chipublib.bibliocommons.com/events/693b435c293fe25400298f74),Harold Washington Library Center,"Multipurpose Room, Lower Level",2026-03-30T18:00:00.000,2026-03-30T19:00:00.000,TRUE,FALSE,FALSE,,,FALSE,NOT REQUIRED,400 S. State Street,60605,POINT (-87.627872 41.876755),Monday,693b435c293fe25400298f74
Fool Me Once,"<p>Join us and see if you can fool your friends, family or even the librarians. We will be sharing about ourselves by playing the game Two Truths and a Lie.</p>
<p><strong>Accessibility<br></strong>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>","Crafts, Games and Play",Adults (Adults: 18 and up) | Teens (Teens: 13 to 19 years),English,Event Page: Fool Me Once (https://chipublib.bibliocommons.com/events/693c5153fd55fb290057d38d),Pullman,,2026-04-03T14:00:00.000,2026-04-03T15:00:00.000,FALSE,TRUE,FALSE,,,FALSE,NOT REQUIRED,11001 S. Indiana Avenue,60628,POINT (-87.618107 41.694353),Friday,693c5153fd55fb290057d38d
Mother Goose at Play: Toddler and Preschool Story and Play Time,"<p>Story time featuring stories, nursery rhymes, puppets and songs.&nbsp;Includes open play time with blocks, puzzles, puppets and other educational toys.</p>
<p>For children 18 months to 5.                 </p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>","Crafts, Games and Play | Story Time",Preschoolers (Preschoolers: 3 to 5 years) | Toddlers (Toddlers: 18 to 36 months),English,Event Page: Mother Goose at Play: Toddler and Preschool Story and Play Time (https://chipublib.bibliocommons.com/events/6940795c76261f28005f4c4b),Scottsdale,,2026-05-27T10:30:00.000,2026-05-27T11:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,4101 W. 79th Street,60652,POINT (-87.724482 41.749263),Wednesday,6940795c76261f28005f4c4b
Renaissance Project Presents LEGO® Club: Meet Dr. Leonidas Berry,"<figure><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/cc1449022a924ab770d6644a59c2535d/blackmedics(1).jpg"" data-image=""67d1ad66871df83600b222a6"" width=""313.6"" height=""196"" style=""width: 313.6px; height: 196px;""></figure>
<p>This is a family-friendly program designed to learn about the life and work of Dr. Leonidas Berry. As an introduction to his collection and his impact in Chicago, participants will be putting together a model plane like the ones used by the Flying Black Medics, of which he was a founding organizer.&nbsp;</p>
<p><a href=""https://www.chipublib.org/archival_post/leonidas-berry-papers/"" target=""_blank"" rel=""noreferrer noopener"">Learn more in our archives!</a></p>
<p>Presented as part of the Renaissance Project, this event invites participants to actively engage with the rich and often untold stories of Black history and heritage at Chicago Public Library.</p>
<p>This program is made possible with support from The Andrew W. Mellon Foundation to the Chicago Public Library Foundation.</p>
<p><strong>How to Attend<br></strong>Register by the start of the event.&nbsp;Chicago Public Library cannot collect personal information online from kids 0 to 13. A parent or guardian’s email address must be used to register. As a reminder, school email addresses may block external emails such as those from CPS.</p>
<p>Participants must arrive at least half an hour before the end of the program in order to have time to work.<br></p>
<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>
<p>Photo source: Front Cover, <em>Chicago Defender</em>, February 17, 1970<br></p>","Chicago 250 | Crafts, Games and Play",Kids (Kids: 6 to 13 years) | Teens (Teens: 13 to 19 years) | Tweens (Tweens: 10 to 13 years),English,Event Page: Renaissance Project Presents LEGO® Club: Meet Dr. Leonidas Berry  (https://chipublib.bibliocommons.com/events/694089eccaa2e62f00206769),Beverly,,2026-04-09T16:00:00.000,2026-04-09T17:00:00.000,FALSE,FALSE,FALSE,,2026-04-09T16:00:00.000,FALSE,ACTIVE,1962 W. 95th Street,60643,POINT (-87.672198 41.721109),Thursday,694089eccaa2e62f00206769
Graphic Novel Book Club - Spent,"<p>Join us at&nbsp;Logan Square Branch for&nbsp;a discussion of the month's graphic novel selection. Current book club selections are available at the Logan Square Branch front desk.<strong><br></strong></p><p><a id=""ember35353"" data-add-title-link=""2631598126"" href=""/item/show/2631598126"">Spent</a> by Alison Bechdel</p><p>In Alison Bechdel's ... skewering and gloriously cast ... comic novel confection, a cartoonist named Alison Bechdel, running a pygmy goat sanctuary in Vermont, is existentially irked by a climate-challenged world and a citizenry on the brink of civil war. She wonders: can she pull humanity out of its death spiral by writing a scathingly self-critical memoir about her own greed and privilege? Meanwhile, Alison's first graphic memoir about growing up with her father ... has been adapted into a highly successful TV series. It's a phenomenon that makes Alison ... the envy of her friend group (recognizable as characters, now middle-aged and living communally in Vermont, from Bechdel's beloved comic strip Dykes to Watch Out For). As the TV show ... racks up Emmy after Emmy--and when Alison's Pauline Bunyanesque partner Holly posts an instructional wood-chopping video that goes viral--Alison's own envy spirals. Why couldn't she be the writer for a critically lauded and wildly popular reality TV show--like Queer Eye--showing people how to free themselves from consumer capitalism and live a more ethical life?</p>

<p><strong>Accessibility</strong><br>
Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a>
to request accommodations. Requests must be made at least 14 business days before the event.<br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Graphic Novel Book Club - Spent (https://chipublib.bibliocommons.com/events/694471a98d33cc4900c62d95),Logan Square,,2026-09-01T18:30:00.000,2026-09-01T19:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,3030 W. Fullerton Avenue,60647,POINT (-87.70308 41.924903),Tuesday,694471a98d33cc4900c62d95
Better with a Beverage Book Discussion: Minor Feelings,"<p>Join the Richard M. Daley Branch for a discussion of&nbsp;<a id=""ember28594"" data-add-title-link=""2237121126"" href=""/item/show/2237121126"">Minor Feelings</a> by <a href=""https://chipublib.bibliocommons.com/v2/search?query=Hong%2C%20Cathy%20Park%2C&searchType=author"">Cathy Park Hong</a>.</p>""Asian Americans inhabit a purgatorial status: neither white enough nor black enough, unmentioned in most conversations about racial identity. In the popular imagination, Asian Americans are all high-achieving professionals. But in reality, this is the most economically divided group in the country, a tenuous alliance of people with roots from South Asia to East Asia to the Pacific Islands, from tech millionaires to service industry laborers ... Poet and essayist Cathy Park Hong ... confronts this thorny subject, blending memoir, cultural criticism, and history to expose the truth of racialized consciousness in America""--One World (Publisher)<br><br>Relax, enjoy a beverage and read. Over the course of the month, read Minor Feelings and aim to try at least one beverage from a Chicago-based institution of your choice while you read. At the end of the month, we will meet on Zoom to discuss the book and any interesting beverages you tried. Feel free to join the discussion BYOB style.<br><br>Copies of the title are available for checkout at the Richard M. Daley Branch. This event is hosted by Jacob from the Richard M. Daley Branch.<p><br></p>
<p><strong>How to Attend</strong><br>This event takes place on Zoom. <strong>Register by Friday,&nbsp;April 17th.&nbsp;</strong>Only one registration per household is needed. You’ll receive an email with a link to the secure Zoom meeting about 24 hours before the meeting. Automatic transcription is included in all CPL events using Zoom.</p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>
<p><strong>Attending CPL Online Events</strong><br>Questions about attending online events? Check out our <a href=""https://www.chipublib.org/faq/services/#events-2"">Events FAQs</a>.<br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Better with a Beverage Book Discussion: Minor Feelings (https://chipublib.bibliocommons.com/events/694977abd875af6300d16be0),,,2026-04-19T12:15:00.000,2026-04-19T13:00:00.000,FALSE,FALSE,TRUE,,2026-04-17T23:15:00.000,FALSE,ACTIVE,,,,Sunday,694977abd875af6300d16be0
Better with a Beverage Book Discussion: The Hike,"<p>Join the Richard M. Daley Branch for a discussion of&nbsp;<a id=""ember46090"" data-add-title-link=""1759338126"" href=""/item/show/1759338126"">The Hike</a> by <a href=""https://chipublib.bibliocommons.com/v2/search?origin=core-catalog-explore&query=Magary%2C%20Drew%2C&searchType=author"">Drew Magary</a>.</p>When Ben, a suburban family man, takes a business trip to rural Pennsylvania, he decides to spend the afternoon before his dinner meeting on a short hike. Once he sets out into the woods behind his hotel, he quickly comes to realize that the path he has chosen cannot be given up easily. With no choice but to move forward, Ben finds himself falling deeper and deeper into a world of man-eating giants, bizarre demons, and colossal insects.<br><br>Relax, enjoy a beverage and read. Over the course of the month, read The Hike and aim to try at least one beverage from a Chicago-based institution of your choice while you read. At the end of the month, we will meet on Zoom to discuss the book and any interesting beverages you tried. Feel free to join the discussion BYOB style.<br><br>Copies of the title are available for checkout at the Richard M. Daley Branch. This event is hosted by Jacob from the Richard M. Daley Branch.<p><br></p>
<p><strong>How to Attend</strong><br>This event takes place on Zoom. <strong>Register by Friday,&nbsp;October 16th.&nbsp;</strong>Only one registration per household is needed. You’ll receive an email with a link to the secure Zoom meeting about 24 hours before the meeting. Automatic transcription is included in all CPL events using Zoom.</p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>
<p><strong>Attending CPL Online Events</strong><br>Questions about attending online events? Check out our <a href=""https://www.chipublib.org/faq/services/#events-2"">Events FAQs</a>.<br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Better with a Beverage Book Discussion: The Hike (https://chipublib.bibliocommons.com/events/694977abd875af6300d16be6),,,2026-10-18T12:15:00.000,2026-10-18T13:00:00.000,FALSE,FALSE,TRUE,,2026-10-16T23:15:00.000,FALSE,ACTIVE,,,,Sunday,694977abd875af6300d16be6
Sulzer Chess Meetup,"<p>Join us to play some chess and meet new friends! All levels of players are welcome. Bring your chess set, if you have it. Let's meet, play, and make new friends!</p>
<p>The room capacity is limited. Registration is required through this link<strong>:&nbsp;</strong><strong><a href=""https://urldefense.com/v3/__https:/www.meetup.com/ChicagoChess__;!!B24N9PvjPQId!eU40Rxdns0hs0U6PepOjetWLkfUqlMSK-foRU-Ejy99SoKjlVfZJLV7mjCA3lasUj-GpsVDbqiXVQQaGgLY1$"" target=""_blank"">meetup.com/ChicagoChess</a></strong><strong></strong>. Any updates about the event will be sent to those who are on the RSVP list.</p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>","Crafts, Games and Play",Adults (Adults: 18 and up),English,Event Page: Sulzer Chess Meetup (https://chipublib.bibliocommons.com/events/69497fef9e881bab98ae9ca5),Sulzer Regional,small meeting room,2026-05-24T13:30:00.000,2026-05-24T15:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,4455 N. Lincoln Avenue,60625,POINT (-87.6844 41.9627),Sunday,69497fef9e881bab98ae9ca5
Adult Book Discussion: Sandwich by Catherine Newman,"<figure><a href=""https://chipublib.bibliocommons.com/v2/record/S126C2578055"" target=""_blank""><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/251741cd393f631b432b775f8cd1ea30/sandwich.jpg"" data-image=""69a31d1e491b809c6f1d2210""></a></figure><p>Join us for a discussion of <a href=""https://chipublib.bibliocommons.com/v2/record/S126C2578055"" target=""_blank"">Sandwich </a>by Catherine Newman.</p><p>Empty nester Rocky is eagerly anticipating her family's annual vacation at a beloved beach cottage in Cape Cod, and simultaneously can't help dreading its inevitable end. A 54-year-old writer, Rocky is joined at the cottage by her aging parents, her cheerful husband Nick, her two successfully launched adult children, Willa and Jamie, Jamie's girlfriend Maya. Rocky has always suffered from ""anticipatory grief,"" but the proximity of her loved ones in the tiny beach house, combined with symptoms of menopause, are pushing her emotions into overdrive. Every item in the cottage and landmark in the town evoke a memory. Her parents' increasing frailness adds to the stress levels. When Maya reveals an unplanned pregnancy, Rocky begins to dwell on a difficult secret from her past, and her descent into pathos threatens to spill over into the present.</p><p>Share your love of reading, broaden your horizons, and stay connected with others through our monthly book discussion. Copies of the book are available for checkout at the Circulation Desk.</p><p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Adult Book Discussion: Sandwich by Catherine Newman (https://chipublib.bibliocommons.com/events/6949b188b5ff473000576c7b),Budlong Woods,,2026-07-18T11:00:00.000,2026-07-18T12:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,5630 N. Lincoln Avenue,60659,POINT (-87.696471 41.983722),Saturday,6949b188b5ff473000576c7b
Adult Book Discussion: Hello Beautiful by Ann Napolitano,"<figure><a href=""https://chipublib.bibliocommons.com/v2/record/S126C2488738"" target=""_blank""><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/5d63bf0a209f455ee6bd6cce71ec99b8/hello.jpg"" data-image=""69a326d76583d22e3c0d8404""></a></figure><p>Join us for a discussion of <a href=""https://chipublib.bibliocommons.com/v2/record/S126C2488738"" target=""_blank"">Hello Beautiful</a>&nbsp;by Ann Napolitano.</p><p>William Waters had a broken childhood, neglected by his family, but his salvation turned out to be basketball. While playing for Northwestern University in Evanston in the late 1970s, he meets the indomitable Julia Padavano, who falls for him and immediately sets out planning their futures. Julia and her family are kind of a package deal, and quicker than he could have imagined it, William is made a honorary member of her Italian American family who live in Chicago's Pilsen neighborhood. (Chicago Public Library's Lozano Branch features significantly in the plot.) The forceful Julia and her three younger sisters love the novel Little Women but they are also reminiscent of the sisters in Pride and Prejudice. When you're young, the future can seem wide open, but fate has a way of upturning that orderly apple cart.</p>
<p>Share your love of reading, broaden your horizons, and&nbsp;stay connected with others&nbsp;through our monthly book discussion.</p>
<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Adult Book Discussion: Hello Beautiful by Ann Napolitano (https://chipublib.bibliocommons.com/events/6949b188b5ff473000576c7c),Budlong Woods,,2026-08-15T11:00:00.000,2026-08-15T12:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,5630 N. Lincoln Avenue,60659,POINT (-87.696471 41.983722),Saturday,6949b188b5ff473000576c7c
Adult Book Discussion,"<p>Share your love of reading, broaden your horizons, and&nbsp;stay connected with others&nbsp;through our monthly book discussion.</p>
<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Adult Book Discussion (https://chipublib.bibliocommons.com/events/6949b188b5ff473000576c80),Budlong Woods,,2026-12-19T11:00:00.000,2026-12-19T12:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,5630 N. Lincoln Avenue,60659,POINT (-87.696471 41.983722),Saturday,6949b188b5ff473000576c80
Let's Play Magic: The Gathering,"<p><strong></strong>Join us to learn to play Magic: The Gathering!&nbsp;Magic<em>&nbsp;</em>is an exciting, strategic fantasy trading card game. <br></p>
<p>We have lots of Magic<em> </em>cards, thanks to donations from <a href=""https://magikids.org/"" target=""_blank"">Magikids</a>&nbsp;and generous patrons.&nbsp;Participants will make (and keep!) a Magic&nbsp;deck and then we will go over how to play!<br></p>
<p>Already know how?&nbsp;Come by&nbsp;and let's duel!</p>
<p>For students in&nbsp;grades 6 to 12.</p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>","Crafts, Games and Play",Teens (Teens: 13 to 19 years) | Tweens (Tweens: 10 to 13 years),English,Event Page: Let's Play Magic: The Gathering (https://chipublib.bibliocommons.com/events/695be202111b9da65caa99b8),Humboldt Park,YOUmedia,2026-03-28T14:00:00.000,2026-03-28T16:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,1605 N. Troy Street,60647,POINT (-87.705427 41.910328),Saturday,695be202111b9da65caa99b8
Adult Book Club: The Book Club for Troublesome Women,"<p>Join McKinley Park for a discussion of a different book each month.<strong><strong><br></strong></strong></p>
<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>",Book Clubs,Adults (Adults: 18 and up) | Seniors (Seniors: 55 and up),English,Event Page: Adult Book Club: The Book Club for Troublesome Women (https://chipublib.bibliocommons.com/events/695c31b96faf374bd592a322),McKinley Park,,2026-09-23T17:30:00.000,2026-09-23T18:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,1915 W. 35th Street,60609,POINT (-87.673465 41.830263),Wednesday,695c31b96faf374bd592a322
Patricia Liddell Researchers Meeting,"<p>Join the Vivian G.&nbsp;Harsh Research Collection and the Patricia Liddell Researchers (PLR) for their monthly meeting.</p>
<p>The Patricia Liddell Researchers is an organization specializing in African American genealogy. They promote the scholarly research, writing, and publishing of African American history. PLR partners with the Harsh Research Collection to meet from January through November&nbsp;on the third Saturday of each month.<br></p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <u><a href=""mailto:access@chipublib.org"" target=""_blank"">access@chipublib.org</a></u> to request accommodations. Requests must be made at least 14 business days before the event.</p>",Chicago 250 | History and Genealogy,Adults (Adults: 18 and up),English,Event Page: Patricia Liddell Researchers Meeting (https://chipublib.bibliocommons.com/events/695c323739996c13d3cf4059),Woodson Regional,First Floor Conference Room,2026-11-21T13:00:00.000,2026-11-21T15:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,9525 S. Halsted Street,60628,POINT (-87.642915 41.720915),Saturday,695c323739996c13d3cf4059
Gamers' Zone: Teen Gaming,"<p>Join us for Gamers' Zone! Chill Out with games for the Nintendo Switch, board games or&nbsp;card games. Snacks are provided.&nbsp;</p>
<p>For tweens and teens 10 to 17.</p>
<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>","Crafts, Games and Play",Teens (Teens: 13 to 19 years) | Tweens (Tweens: 10 to 13 years),English,Event Page: Gamers' Zone: Teen Gaming  (https://chipublib.bibliocommons.com/events/69617a700c4aad14d37435f0),King (Closed),,2026-03-31T16:30:00.000,2026-03-31T19:00:00.000,FALSE,TRUE,TRUE,,,FALSE,NOT REQUIRED,3436 S. King Drive,60616,POINT (-87.61753 41.832264),Tuesday,69617a700c4aad14d37435f0
Adult Book Discussion: The Henna Artist,"<p>Join the Uptown Branch Adult Book Club&nbsp;for&nbsp;a discussion of <a id=""ember5159"" data-add-title-link=""2227769126"" href=""/item/show/2227769126"">The Henna Artist</a> by Alka Joshi.<br><br>A talented henna artist for wealthy confidantes finds her efforts to control her own destiny in 1950s Jaipur threatened by the abusive husband she fled as a teenage girl.</p><p>A limited number of copies of this title will be available for checkout after the monthly Adult Book Club meeting on 6/20/25 at the Circulation Desk or place a hold.</p>
<p><b>How to Attend</b></p><p>This event is available in person or online.<br></p><p><strong>Attend in person at the Uptown Branch 929 W. Buena Avenue, Chicago, IL 6061</strong><strong></strong><br><br><strong>Attend online via Zoom</strong><br>Please contact Denise Reiter at dreiter@chipublib.org for a Zoom link.&nbsp;Only one registration per household is needed. You’ll receive an email with a link to the secure Zoom meeting about 24 hours before the meeting. Automatic transcription is included in all CPL events using Zoom.&nbsp;Questions about attending online events? Check out our&nbsp;<a href=""https://www.chipublib.org/faq/services/?_gl=1*1k1nj8e*_ga*MTM4NzM3NjMyNi4xNzA4NzA1MjEz*_ga_G99DMMNG39*czE3NjI3MTg1NDQkbzQ3NyRnMSR0MTc2MjcxOTM3MCRqNjAkbDAkaDA.*_ga_92RPWHE421*czE3NjI3MTg1NDQkbzQ3NyRnMSR0MTc2MjcxOTM2OSRqNjAkbDAkaDA.#events-2"">Events FAQs</a>.<br><br><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>




<p><br><br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Adult Book Discussion: The Henna Artist (https://chipublib.bibliocommons.com/events/6967e05894297d3600a522bd),Uptown,Community Room,2026-07-18T13:00:00.000,2026-07-18T14:00:00.000,FALSE,FALSE,FALSE,,,FALSE,NOT REQUIRED,929 W. Buena Avenue,60613,POINT (-87.653572 41.958263),Saturday,6967e05894297d3600a522bd
